model,MAE,RMSE,MAPE,n_params
Naive,26.047461087011992,65.1850761806153,21.864186214731983,0
Linear Regression,25.910228523243735,59.93003241502823,24.191032245052572,8
"SARIMAX_exog_log (2,0,2)x(1,0,1,24)",34.936700797188536,62.39361690619407,33.54114745553504,13
LSTM_72h_lookback,30.974053490283953,54.204741668989946,29.37939707832934,54945
Prophet_hourly_weekly,74.05978406962677,100.76227386798239,79.00312465117324,0
